plugin_id,asset_fqdn,asset_ip,cve,cvss,vpr,first_seen,last_seen,status
19506,web-01.acme.local,10.0.1.10,CVE-2024-12345,8.7,6.2,2025-08-24T09:10:00Z,2025-08-29T09:30:00Z,open
21111,db-01.acme.local,10.0.1.20,CVE-2023-99999,9.8,7.9,2025-08-27T10:05:00Z,2025-08-29T03:15:00Z,open
30999,win-01.acme.local,10.0.2.10,CVE-2022-5678,6.5,5.0,2025-08-20T06:05:00Z,2025-08-28T12:30:00Z,closed
40001,eng-ci-01.acme.local,10.0.3.50,CVE-2025-11111,7.3,6.8,2025-08-29T10:35:00Z,2025-08-29T11:00:00Z,open
50002,hr-app-01.acme.local,10.0.4.10,CVE-2020-1350,10.0,8.5,2025-08-10T12:05:00Z,2025-08-25T08:00:00Z,open
60003,finance-core-01.acme.local,10.0.5.10,CVE-2025-22222,9.0,7.5,2025-08-29T20:55:00Z,2025-08-30T00:10:00Z,open
70004,sales-portal-01.acme.local,10.0.6.10,CVE-2021-34527,8.1,6.9,2025-08-26T07:25:00Z,2025-08-27T15:45:00Z,open
80005,shared-cache-01.acme.local,10.0.7.10,CVE-2024-88888,4.3,3.1,2025-08-22T09:50:00Z,2025-08-23T10:00:00Z,open
90006,db-01.acme.local,10.0.1.20,CVE-2024-12345,7.2,5.4,2025-08-28T11:20:00Z,2025-08-29T14:00:00Z,open
100007,finance-core-01.acme.local,10.0.5.10,CVE-2023-44444,6.8,4.9,2025-08-25T19:05:00Z,2025-08-29T05:00:00Z,closed